name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Perodicticus potto	9472	species	83898	9	1	0.0
Perodicticus potto edwarsi	9473	subspecies	18616	1	0	0.0
Tarsiidae	9475	family	0	232	0	0.0
Tarsius	9476	genus	0	2	0	0.0
Tarsius bancanus	9477	species	99277	44	15	0.0
Callithrix	9481	genus	0	1578	0	0.0
Callithrix argentata	9482	species	62071	6	2	0.0
Callithrix jacchus	9483	species	210042315	57773	20514	0.0
Saguinus	9486	genus	0	27	0	0.0
Saguinus fuscicollis	9487	species	122144	23	8	0.0
Saguinus mystax	9488	species	64705	2	0	0.0
Saguinus oedipus	9490	species	487850	52	21	0.0
Saguinus imperator	9491	species	78981	15	7	0.0
Callithrix pygmaea	9493	species	132180	27	7	0.0
Callimico	9494	genus	0	1	0	0.0
Callimico goeldii	9495	species	195996	63	24	0.0
Cebidae	9498	family	0	2287	0	0.0
Alouatta	9499	genus	0	10	0	0.0
Alouatta caraya	9502	species	259879	51	12	0.0
Alouatta seniculus	9503	species	103841	38	4	0.0
Aotus	9504	genus	0	3073	0	0.0
Aotus trivirgatus	9505	species	270566	68	31	0.0
Ateles	9506	genus	0	145	0	0.0
Ateles belzebuth	9507	species	1034972	563	186	0.0
Ateles fusciceps	9508	species	213496	9	4	0.0
Ateles geoffroyi	9509	species	2427084	1281	406	0.0
Ateles paniscus	9510	species	110833	15	1	0.0
Cebus	9513	genus	0	1558	0	0.0
Cebus albifrons	9514	species	261322	33	8	0.0
Sapajus apella	9515	species	371949	55	11	0.0
Cebus capucinus	9516	species	109166	3407	471	0.0
Lagothrix	9518	genus	0	15	0	0.0
Lagothrix lagotricha	9519	species	549351	111	36	0.0
Saimiri	9520	genus	1142	1108	1	0.0
Saimiri sciureus	9521	species	598750	74	22	0.0
Callicebus	9522	genus	0	20	0	0.0
Plecturocebus moloch	9523	species	2474495	1433	383	0.0
Chiropotes	9524	genus	0	5	0	0.0
Chiropotes satanas	9525	species	38316	2	2	0.0
Cercopithecidae	9527	family	0	14537	1697	0.0
Cercocebus	9529	genus	0	441	0	0.0
Cercocebus torquatus	9530	species	86578	17	0	0.0
Cercocebus atys	9531	species	281572890	22250	3987	0.0
Cercopithecus	9533	genus	0	12	1	0.0
Chlorocebus aethiops	9534	species	31068525	20939	9169	0.0
Cercopithecus cephus	9535	species	114574	7	2	0.0
Cercopithecus hamlyni	9536	species	50581	4	3	0.0
Erythrocebus patas	9538	species	296227	24	14	0.0
Macaca	9539	genus	0	6903	1	0.0
Macaca arctoides	9540	species	223880	10	6	0.0
Macaca fascicularis	9541	species	842778568	409830	202212	0.0
Macaca fuscata	9542	species	466143	43	9	0.0
Macaca fuscata fuscata	9543	subspecies	983276	401	180	0.0
Macaca mulatta	9544	species	515739697	136416	45631	2.81949e-23
Macaca nemestrina	9545	species	282289335	23316	4166	0.0
Macaca sylvanus	9546	species	204515	17	1	0.0
Macaca radiata	9548	species	72147	12	6	0.0
Macaca sp.	9549	species	20944	3	2	0.0
Macaca assamensis	9551	species	160634	4	1	0.0
Papio	9554	genus	701	698	0	0.0
Papio anubis	9555	species	265942166	34402	7434	0.0
Papio cynocephalus	9556	species	849758	11	3	0.0
Papio hamadryas	9557	species	1781110	501	128	0.0
Mandrillus sphinx	9561	species	187341	58	7	0.0
Theropithecus gelada	9565	species	174843	9	1	0.0
Mandrillus	9567	genus	0	217	0	0.0
Mandrillus leucophaeus	9568	species	107659753	7774	1228	0.0
Colobus	9570	genus	0	562	0	0.0
Colobus polykomos	9572	species	62191	4	0	0.0
Hylobatidae	9577	family	0	97	0	0.0
Hylobates	9578	genus	0	60	0	0.0
Hylobates agilis	9579	species	402737	46	2	0.0
Hylobates lar	9580	species	972181	110	14	0.0
Hylobates sp.	9581	species	23404	12	6	0.0
Nomascus siki	9586	species	112509	15	0	0.0
Hylobates klossii	9587	species	207778	18	1	0.0
Hylobates muelleri	9588	species	163342	9	8	0.0
Hylobates pileatus	9589	species	155980	8	0	0.0
Symphalangus syndactylus	9590	species	839571	120	66	0.0
Gorilla	9592	genus	0	1398	0	0.0
Gorilla gorilla	9593	species	32477476	16451	2061	0.0
Gorilla gorilla gorilla	9595	subspecies	98771545	13002	2134	0.0
Pan	9596	genus	3334	4676	0	0.0
Pan paniscus	9597	species	165223904	14412	912	6.89133e-30
Pan troglodytes	9598	species	1019203870	440300	72250	1.44127e-26
Pongo	9599	genus	0	2215	0	0.0
Pongo pygmaeus	9600	species	125779023	85610	37461	0.0
Pongo abelii	9601	species	251958310	103678	30500	0.0
Pongo pygmaeus pygmaeus	9602	subspecies	153866	15	1	0.0
Hominidae	9604	family	0	12731	0	0.0
Homo	9605	genus	0	5720	0	0.0
Homo sapiens	9606	species	6375692585	3010942	988704	1.23877e-09
Canidae	9608	family	0	410	4	0.0
Canis	9611	genus	0	939	0	0.0
Canis lupus	9612	species	2123441	3738	1110	0.0
Canis latrans	9614	species	385154	17	0	0.0
Canis lupus familiaris	9615	subspecies	271780986	81469	32486	2.5195e-10
Canis sp.	9616	species	29585	3	0	0.0
Lycaon pictus	9622	species	78819	1	0	0.0
Otocyon megalotis	9624	species	18467	3	3	0.0
Vulpes vulpes	9627	species	720325	60	26	0.0
Ursidae	9632	family	0	848	0	0.0
Helarctos malayanus	9634	species	104675	8	2	0.0
Melursus ursinus	9636	species	79663	17	0	0.0
Tremarctos ornatus	9638	species	86362	9	2	0.0
Ursus	9639	genus	0	470	0	0.0
Ursus thibetanus	9642	species	244817	23	7	0.0
Ursus americanus	9643	species	331179	39	18	0.0
Ursus arctos	9644	species	2554986	33	6	0.0
Ailuropoda	9645	genus	0	445	0	0.0
Ailuropoda melanoleuca	9646	species	98299298	18283	4369	0.0
Ailurus	9648	genus	0	4	0	0.0
Ailurus fulgens	9649	species	204189	37	16	0.0
Nasua nasua	9651	species	48639	8	4	0.0
Procyon	9653	genus	0	4	0	0.0
Procyon lotor	9654	species	522653	48	18	0.0
